Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
265,2024-01-12 01:00:00,20.2,11.0,1,27.0,79.0,97.0,758.0,0
266,2024-01-12 02:00:00,14.7,9.0,0,26.0,83.0,106.0,758.0,0
267,2024-01-12 03:00:00,13.0,6.0,0,26.0,86.0,110.0,758.0,0
268,2024-01-12 04:00:00,13.7,3.0,0,25.0,87.0,106.0,758.0,0
269,2024-01-12 05:00:00,16.9,0.0,0,25.0,89.0,106.0,758.0,0
270,2024-01-12 06:00:00,27.1,0.0,0,25.0,90.0,109.0,758.0,0
271,2024-01-12 07:00:00,30.5,1.0,0,25.0,88.0,109.0,759.0,0
272,2024-01-12 08:00:00,22.6,1.0,1,28.0,75.0,122.0,759.0,0
273,2024-01-12 09:00:00,18.3,2.0,1,29.0,65.0,160.0,759.0,0
274,2024-01-12 10:00:00,12.5,3.0,0,31.0,57.0,138.0,759.0,0
275,2024-01-12 11:00:00,13.9,5.0,1,31.0,57.0,141.0,759.0,0
276,2024-01-12 12:00:00,14.5,13.0,1,32.0,54.0,174.0,758.0,0
277,2024-01-12 13:00:00,15.7,8.0,0,32.0,51.0,137.0,758.0,0
278,2024-01-12 14:00:00,18.4,27.0,1,32.0,51.0,143.0,757.0,0
279,2024-01-12 15:00:00,16.5,29.0,1,31.0,55.0,165.0,757.0,0
280,2024-01-12 16:00:00,18.9,28.0,1,30.0,61.0,141.0,757.0,0
281,2024-01-12 17:00:00,15.8,28.0,1,29.0,66.0,141.0,757.0,0
282,2024-01-12 18:00:00,22.6,13.0,1,28.0,70.0,142.0,758.0,0
283,2024-01-12 19:00:00,26.8,3.0,1,28.0,73.0,145.0,758.0,0
284,2024-01-12 20:00:00,23.4,3.0,1,28.0,74.0,119.0,759.0,0
285,2024-01-12 21:00:00,23.8,11.03867403314917,1,27.0,74.0,115.0,759.0,0
286,2024-01-12 22:00:00,22.1,0.0,1,27.0,75.0,103.0,759.0,0
287,2024-01-12 23:00:00,24.5,24.0,1,27.0,76.0,96.0,759.0,0
288,2024-01-13 00:00:00,21.0,3.0,0,27.0,77.0,101.0,759.0,0
289,2024-01-13 01:00:00,19.9,11.0,1,26.0,78.0,98.0,758.0,0
290,2024-01-13 02:00:00,20.1,6.0,1,26.0,80.0,96.0,758.0,0
291,2024-01-13 03:00:00,17.0,1.0,1,26.0,80.0,99.0,757.0,0
292,2024-01-13 04:00:00,19.3,3.0,1,26.0,79.0,96.0,757.0,0
293,2024-01-13 05:00:00,15.8,18.0,1,26.0,80.0,96.0,757.0,0
294,2024-01-13 06:00:00,16.9,7.0,1,26.0,78.0,98.0,758.0,0
295,2024-01-13 07:00:00,16.9,13.0,1,26.0,77.0,95.0,758.0,0
296,2024-01-13 08:00:00,21.5,14.0,1,28.0,68.0,116.0,759.0,0
297,2024-01-13 09:00:00,15.5,33.0,1,29.0,63.0,115.0,759.0,0
298,2024-01-13 10:00:00,19.2,39.0,1,30.0,56.0,112.0,759.0,0
299,2024-01-13 11:00:00,25.4,40.0,1,31.0,50.0,144.0,759.0,0
300,2024-01-13 12:00:00,23.4,0.0,0,32.0,47.0,170.0,759.0,0
